1,botando,1,botando,botar,botar,VMG,botar,b o ' t a 4 ,botando,b o ' t a n_d . d o ,botar,b o ' t a 4 ,botando,b o ' t a n . d o ,botar,bo'ta4,botando,bo'tan.do
2.18,botas,15,botas,bota,bota,NC,bota,' b o . t a ,botas,' b o . t a s ,bota,' b o . t a ,botas,' b o . t a s ,bota,'bo.ta,botas,'bo.tas
1.95,bote,9,bote,bote,bote,NC,bote,' b o . t e ,bote,' b o . t e ,bote,' b o . t e ,bote,' b o . t e ,bote,'bo.te,bote,'bo.te
1.3,botella,2,botella,botella,botella,NC,botella,b o ' t e . j\\ a ,botella,b o ' t e . j\\ a ,botella,b o ' t e . L a ,botella,b o ' t e . L a ,botella,bo'te.La,botella,bo'te.La
1,botes,1,botes,bote,bote,NC,bote,' b o . t e ,botes,' b o . t e s ,bote,' b o . t e ,botes,' b o . t e s ,bote,'bo.te,botes,'bo.tes
1.3,botitas,2,botitas,boto,boto,AQ,boto,' b o . t o ,botitas,b o ' t i . t a s ,boto,' b o . t o ,botitas,b o ' t i . t a s ,boto,'bo.to,botitas,bo'ti.tas
1.78,botón,6,botón,botón,botón,NC,botón,b o ' t o n ,botón,b o ' t o n ,botón,b o ' t o n ,botón,b o ' t o n ,botón,bo'ton,botón,bo'ton
1.6,botones,4,botones,botón,botón,NC,botón,b o ' t o n ,botones,b o ' t o . n e s ,botón,b o ' t o n ,botones,b o ' t o . n e s ,botón,bo'ton,botones,bo'to.nes
1,brazo,1,brazo,brazo,brazo,NC,brazo,' b 4 a . T o ,brazo,' b 4 a . T o ,brazo,' b 4 a . T o ,brazo,' b 4 a . T o ,brazo,'b4a.To,brazo,'b4a.To
1.48,brazos,3,brazos,brazo,brazo,NC,brazo,' b 4 a . T o ,brazos,' b 4 a . T o s ,brazo,' b 4 a . T o ,brazos,' b 4 a . T o s ,brazo,'b4a.To,brazos,'b4a.Tos
1,brinco,1,brinco,brinco,brinco,NC,brinco,' b 4 i n_g . k o ,brinco,' b 4 i n_g . k o ,brinco,' b 4 i n . k o ,brinco,' b 4 i n . k o ,brinco,'b4in.ko,brinco,'b4in.ko
1.7,broma,5,broma,broma,broma,NC,broma,' b 4 o . m a ,broma,' b 4 o . m a ,broma,' b 4 o . m a ,broma,' b 4 o . m a ,broma,'b4o.ma,broma,'b4o.ma
1.7,bruja,5,bruja,brujo,brujo,NC,brujo,' b 4 u . x o ,bruja,' b 4 u . x a ,brujo,' b 4 u . x o ,bruja,' b 4 u . x a ,brujo,'b4u.xo,bruja,'b4u.xa
1,bruto,1,bruto,bruto,bruto,AQ,bruto,' b 4 u . t o ,bruto,' b 4 u . t o ,bruto,' b 4 u . t o ,bruto,' b 4 u . t o ,bruto,'b4u.to,bruto,'b4u.to
1,bucaneros,1,bucaneros,bucanero,bucanero,NC,bucanero,b u . k a ' n e . 4 o ,bucaneros,b u . k a ' n e . 4 o s ,bucanero,b u . k a ' n e . 4 o ,bucaneros,b u . k a ' n e . 4 o s ,bucanero,bu.ka'ne.4o,bucaneros,bu.ka'ne.4os
1,buceando,1,buceando,bucear,bucear,VMG,bucear,b u . T e ' a 4 ,buceando,b u . T e ' a n_d . d o ,bucear,b u . T e ' a 4 ,buceando,b u . T e ' a n . d o ,bucear,bu.Te'a4,buceando,bu.Te'an.do
1.3,bucear,2,bucear,bucear,bucear,VMN,bucear,b u . T e ' a 4 ,bucear,b u . T e ' a 4 ,bucear,b u . T e ' a 4 ,bucear,b u . T e ' a 4 ,bucear,bu.Te'a4,bucear,bu.Te'a4
1,buen,1,buen,bueno,bueno,AQ,bueno,' b w e . n o ,buen,' b w e n ,bueno,' b w e . n o ,buen,' b w e n ,bueno,'bwe.no,buen,'bwen
2.08,buena,12,buena,bueno,bueno,AQ,bueno,' b w e . n o ,buena,' b w e . n a ,bueno,' b w e . n o ,buena,' b w e . n a ,bueno,'bwe.no,buena,'bwe.na
1.85,buenas,7,buenas,bueno,bueno,AQ,bueno,' b w e . n o ,buenas,' b w e . n a s ,bueno,' b w e . n o ,buenas,' b w e . n a s ,bueno,'bwe.no,buenas,'bwe.nas
1,buenísimo,1,buenísimo,bueno,bueno,AQ,bueno,' b w e . n o ,buenísimo,b w e ' n i . s i . m o ,bueno,' b w e . n o ,buenísimo,b w e ' n i . s i . m o ,bueno,'bwe.no,buenísimo,bwe'ni.si.mo
3.14,bueno,137,bueno,bueno,bueno,AQ,bueno,' b w e . n o ,bueno,' b w e . n o ,bueno,' b w e . n o ,bueno,' b w e . n o ,bueno,'bwe.no,bueno,'bwe.no
2.72,buenos,52,buenos,bueno,bueno,AQ,bueno,' b w e . n o ,buenos,' b w e . n o s ,bueno,' b w e . n o ,buenos,' b w e . n o s ,bueno,'bwe.no,buenos,'bwe.nos
2.15,bufanda,14,bufanda,bufanda,bufanda,NC,bufanda,b u ' f a n_d . d a ,bufanda,b u ' f a n_d . d a ,bufanda,b u ' f a n . d a ,bufanda,b u ' f a n . d a ,bufanda,bu'fan.da,bufanda,bu'fan.da
1,bultos,1,bultos,bulto,bulto,NC,bulto,' b u l_d . t o ,bultos,' b u l_d . t o s ,bulto,' b u l . t o ,bultos,' b u l . t o s ,bulto,'bul.to,bultos,'bul.tos
1,burbujas,1,burbujas,burbuja,burbuja,NC,burbuja,b u 4 ' B_o u . x a ,burbujas,b u 4 ' B_o u . x a s ,burbuja,b u 4 ' b u . x a ,burbujas,b u 4 ' b u . x a s ,burbuja,bu4'bu.xa,burbujas,bu4'bu.xas
1,burlan,1,burlan,burlar,burlar,VMI,burlar,' b u 4 l a 4 ,burlan,' b u 4 l a n ,burlar,' b u 4 l a 4 ,burlan,' b u 4 l a n ,burlar,'bu4la4,burlan,'bu4lan
1.3,burrico,2,burrico,burro,burro,AQ,burro,' b u . r o ,burrico,b u ' r i . k o ,burro,' b u . r o ,burrico,b u ' r i . k o ,burro,'bu.ro,burrico,bu'ri.ko
1.3,burriquito,2,burriquito,burriquito,burriquito,NC,burriquito,b u . r i ' k i . t o ,burriquito,b u . r i ' k i . t o ,burriquito,b u . r i ' k i . t o ,burriquito,b u . r i ' k i . t o ,burriquito,bu.ri'ki.to,burriquito,bu.ri'ki.to
2.2,burrito,16,burrito,burro,burro,AQ,burro,' b u . r o ,burrito,b u ' r i . t o ,burro,' b u . r o ,burrito,b u ' r i . t o ,burro,'bu.ro,burrito,bu'ri.to
2.59,burro,39,burro,burro,burro,NC,burro,' b u . r o ,burro,' b u . r o ,burro,' b u . r o ,burro,' b u . r o ,burro,'bu.ro,burro,'bu.ro
1.3,busca,2,busca,buscar,buscar,VMI,buscar,b u s ' k a 4 ,busca,' b u s . k a ,buscar,b u s ' k a 4 ,busca,' b u s . k a ,buscar,bus'ka4,busca,'bus.ka
1,buscaban,1,buscaban,buscar,buscar,VMI,buscar,b u s ' k a 4 ,buscaban,b u s ' k a . B_o a n ,buscar,b u s ' k a 4 ,buscaban,b u s ' k a . b a n ,buscar,bus'ka4,buscaban,bus'ka.ban
1.48,buscado,3,buscado,buscar,buscar,VMP,buscar,b u s ' k a 4 ,buscado,b u s ' k a . D_o o ,buscar,b u s ' k a 4 ,buscado,b u s ' k a . d o ,buscar,bus'ka4,buscado,bus'ka.do
1.3,búscala,2,búscala,buscar+lo,buscar,VMM+PP,buscar,b u s ' k a 4 ,búscala,' b u s . k a . l a ,buscar,b u s ' k a 4 ,búscala,' b u s . k a . l a ,buscar,bus'ka4,búscala,'bus.ka.la
1.3,búscalo,2,búscalo,buscar+lo,buscar,VMM+PP,buscar,b u s ' k a 4 ,búscalo,' b u s . k a . l o ,buscar,b u s ' k a 4 ,búscalo,' b u s . k a . l o ,buscar,bus'ka4,búscalo,'bus.ka.lo
1,búscame,1,búscame,buscar+me,buscar,VMM+PP,buscar,b u s ' k a 4 ,búscame,' b u s . k a . m e ,buscar,b u s ' k a 4 ,búscame,' b u s . k a . m e ,buscar,bus'ka4,búscame,'bus.ka.me
1,buscamos,1,buscamos,buscar,buscar,VMI,buscar,b u s ' k a 4 ,buscamos,b u s ' k a . m o s ,buscar,b u s ' k a 4 ,buscamos,b u s ' k a . m o s ,buscar,bus'ka4,buscamos,bus'ka.mos
1,buscan,1,buscan,buscar,buscar,VMI,buscar,b u s ' k a 4 ,buscan,' b u s . k a n ,buscar,b u s ' k a 4 ,buscan,' b u s . k a n ,buscar,bus'ka4,buscan,'bus.kan
1.3,buscando,2,buscando,buscar,buscar,VMG,buscar,b u s ' k a 4 ,buscando,b u s ' k a n_d . d o ,buscar,b u s ' k a 4 ,buscando,b u s ' k a n . d o ,buscar,bus'ka4,buscando,bus'kan.do
2.34,buscar,22,buscar,buscar,buscar,VMN,buscar,b u s ' k a 4 ,buscar,b u s ' k a 4 ,buscar,b u s ' k a 4 ,buscar,b u s ' k a 4 ,buscar,bus'ka4,buscar,bus'ka4
1,buscaremos,1,buscaremos,buscar,buscar,VMI,buscar,b u s ' k a 4 ,buscaremos,b u s . k a ' 4 e . m o s ,buscar,b u s ' k a 4 ,buscaremos,b u s . k a ' 4 e . m o s ,buscar,bus'ka4,buscaremos,bus.ka'4e.mos
1.3,buscarla,2,buscarla,buscar+lo,buscar,VMN+PP,buscar,b u s ' k a 4 ,buscarla,b u s ' k a 4 l a ,buscar,b u s ' k a 4 ,buscarla,b u s ' k a 4 l a ,buscar,bus'ka4,buscarla,bus'ka4la
1,buscarle,1,buscarle,buscar+le,buscar,VMN+PP,buscar,b u s ' k a 4 ,buscarle,b u s ' k a 4 l e ,buscar,b u s ' k a 4 ,buscarle,b u s ' k a 4 l e ,buscar,bus'ka4,buscarle,bus'ka4le
1.3,buscarles,2,buscarles,buscar+le,buscar,VMN+PP,buscar,b u s ' k a 4 ,buscarles,b u s ' k a 4 l e s ,buscar,b u s ' k a 4 ,buscarles,b u s ' k a 4 l e s ,buscar,bus'ka4,buscarles,bus'ka4les
1,buscaros,1,buscaros,buscar+os,buscar,VMN+PP,buscar,b u s ' k a 4 ,buscaros,b u s ' k a . 4 o s ,buscar,b u s ' k a 4 ,buscaros,b u s ' k a . 4 o s ,buscar,bus'ka4,buscaros,bus'ka.4os
1,busqué,1,busqué,buscar,buscar,VMI,buscar,b u s ' k a 4 ,busqué,b u s ' k e ,buscar,b u s ' k a 4 ,busqué,b u s ' k e ,buscar,bus'ka4,busqué,bus'ke
1.78,butaca,6,butaca,butaca,butaca,NC,butaca,b u ' t a . k a ,butaca,b u ' t a . k a ,butaca,b u ' t a . k a ,butaca,b u ' t a . k a ,butaca,bu'ta.ka,butaca,bu'ta.ka
1,Buter,1,buter,buter,buter,NP,buter,b u ' t e 4 ,Buter,b u ' t e 4 ,buter,b u ' t e 4 ,Buter,b u ' t e 4 ,buter,bu'te4,Buter,bu'te4
1,caballero,1,caballero,caballero,caballero,NC,caballero,k a . B_o a ' j\\ e . 4 o ,caballero,k a . B_o a ' j\\ e . 4 o ,caballero,k a . b a ' L e . 4 o ,caballero,k a . b a ' L e . 4 o ,caballero,ka.ba'Le.4o,caballero,ka.ba'Le.4o
1.7,caballico,5,caballico,caballo,caballo,NC,caballo,k a ' B_o a . j\\ o ,caballico,k a . B_o a ' j\\ i . k o ,caballo,k a ' b a . L o ,caballico,k a . b a ' L i . k o ,caballo,ka'ba.Lo,caballico,ka.ba'Li.ko
2.58,caballito,38,caballito,caballito,caballito,NC,caballito,k a . B_o a ' j\\ i . t o ,caballito,k a . B_o a ' j\\ i . t o ,caballito,k a . b a ' L i . t o ,caballito,k a . b a ' L i . t o ,caballito,ka.ba'Li.to,caballito,ka.ba'Li.to
1.7,caballitos,5,caballitos,caballito,caballito,NC,caballito,k a . B_o a ' j\\ i . t o ,caballitos,k a . B_o a ' j\\ i . t o s ,caballito,k a . b a ' L i . t o ,caballitos,k a . b a ' L i . t o s ,caballito,ka.ba'Li.to,caballitos,ka.ba'Li.tos
3.44,caballo,276,caballo,caballo,caballo,NC,caballo,k a ' B_o a . j\\ o ,caballo,k a ' B_o a . j\\ o ,caballo,k a ' b a . L o ,caballo,k a ' b a . L o ,caballo,ka'ba.Lo,caballo,ka'ba.Lo
2.49,caballos,31,caballos,caballo,caballo,NC,caballo,k a ' B_o a . j\\ o ,caballos,k a ' B_o a . j\\ o s ,caballo,k a ' b a . L o ,caballos,k a ' b a . L o s ,caballo,ka'ba.Lo,caballos,ka'ba.Los
1.3,cabaña,2,cabaña,cabaña,cabaña,NC,cabaña,k a ' B_o a . J a ,cabaña,k a ' B_o a . J a ,cabaña,k a ' b a . J a ,cabaña,k a ' b a . J a ,cabaña,ka'ba.Ja,cabaña,ka'ba.Ja
3.37,cabe,236,cabe,caber,caber,VMI,caber,k a ' B_o e 4 ,cabe,k a . B_o e ,caber,k a ' b e 4 ,cabe,' k a . b e ,caber,ka'be4,cabe,'ka.be
1,cabecica,1,cabecica,cabecica,cabecica,NC,cabecica,k a . B_o e ' T i . k a ,cabecica,k a . B_o e ' T i . k a ,cabecica,k a . b e ' T i . k a ,cabecica,k a . b e ' T i . k a ,cabecica,ka.be'Ti.ka,cabecica,ka.be'Ti.ka
1,cabecita,1,cabecita,cabo,cabo,NC,cabo,' k a . B_o o ,cabecita,k a . B_o e ' T i . t a ,cabo,' k a . b o ,cabecita,k a . b e ' T i . t a ,cabo,'ka.bo,cabecita,ka.be'Ti.ta
1.6,cabemos,4,cabemos,caber,caber,VMI,caber,k a ' B_o e 4 ,cabemos,k a ' B_o e . m o s ,caber,k a ' b e 4 ,cabemos,k a ' b e . m o s ,caber,ka'be4,cabemos,ka'be.mos
2.89,caben,78,caben,caber,caber,VMI,caber,k a ' B_o e 4 ,caben,' k a . B_o e n ,caber,k a ' b e 4 ,caben,' k a . b e n ,caber,ka'be4,caben,'ka.ben
1.95,caber,9,caber,caber,caber,VMN,caber,k a ' B_o e 4 ,caber,k a ' B_o e 4 ,caber,k a ' b e 4 ,caber,k a ' b e 4 ,caber,ka'be4,caber,ka'be4
2.74,cabeza,55,cabeza,cabeza,cabeza,NC,cabeza,k a ' B_o e . T a ,cabeza,k a ' B_o e . T a ,cabeza,k a ' b e . T a ,cabeza,k a ' b e . T a ,cabeza,ka'be.Ta,cabeza,ka'be.Ta
1,cabezón,1,cabezón,cabezón,cabezón,NC,cabezón,k a . B_o e ' T o n ,cabezón,k a . B_o e ' T o n ,cabezón,k a . b e ' T o n ,cabezón,k a . b e ' T o n ,cabezón,ka.be'Ton,cabezón,ka.be'Ton
1,cabezudos,1,cabezudos,cabezudo,cabezudo,NC,cabezudo,k a . B_o e ' T u . D_o o ,cabezudos,k a . B_o e ' T u . D_o o s ,cabezudo,k a . b e ' T u . d o ,cabezudos,k a . b e ' T u . d o s ,cabezudo,ka.be'Tu.do,cabezudos,ka.be'Tu.dos
1.78,cabía,6,cabía,caber,caber,VMI,caber,k a ' B_o e 4 ,cabía,k a ' B_o i a ,caber,k a ' b e 4 ,cabía,k a ' b i a ,caber,ka'be4,cabía,ka'bia
1,cable,1,cable,cable,cable,NC,cable,' k a . B_o l e ,cable,' k a . B_o l e ,cable,' k a . b l e ,cable,' k a . b l e ,cable,'ka.ble,cable,'ka.ble
1.9,cabo,8,cabo,cabo,cabo,NC,cabo,' k a . B_o o ,cabo,' k a . B_o o ,cabo,' k a . b o ,cabo,' k a . b o ,cabo,'ka.bo,cabo,'ka.bo
2.68,cabra,48,cabra,cabra,cabra,NC,cabra,' k a . B_o 4 a ,cabra,' k a . B_o 4 a ,cabra,' k a . b 4 a ,cabra,' k a . b 4 a ,cabra,'ka.b4a,cabra,'ka.b4a
1.3,cabrá,2,cabrá,caber,caber,VMI,caber,k a ' B_o e 4 ,cabrá,k a ' B_o 4 a ,caber,k a ' b e 4 ,cabrá,k a ' b 4 a ,caber,ka'be4,cabrá,ka'b4a
1.3,cabrán,2,cabrán,caber,caber,VMI,caber,k a ' B_o e 4 ,cabrán,k a ' B_o 4 a n ,caber,k a ' b e 4 ,cabrán,k a ' b 4 a n ,caber,ka'be4,cabrán,ka'b4an
1.7,cabras,5,cabras,cabra,cabra,NC,cabra,' k a . B_o 4 a ,cabras,' k a . B_o 4 a s ,cabra,' k a . b 4 a ,cabras,' k a . b 4 a s ,cabra,'ka.b4a,cabras,'ka.b4as
1.7,cabrita,5,cabrita,cabrito,cabrito,NC,cabrito,k a ' B_o 4 i . t o ,cabrita,k a ' B_o 4 i . t a ,cabrito,k a ' b 4 i . t o ,cabrita,k a ' b 4 i . t a ,cabrito,ka'b4i.to,cabrita,ka'b4i.ta
1.3,cabritita,2,cabritita,cabrito,cabrito,NC,cabrito,k a ' B_o 4 i . t o ,cabritita,k a . B_o 4 i ' t i . t a ,cabrito,k a ' b 4 i . t o ,cabritita,k a . b 4 i ' t i . t a ,cabrito,ka'b4i.to,cabritita,ka.b4i'ti.ta
1,cabritito,1,cabritito,cabrito,cabrito,NC,cabrito,k a ' B_o 4 i . t o ,cabritito,k a . B_o 4 i ' t i . t o ,cabrito,k a ' b 4 i . t o ,cabritito,k a . b 4 i ' t i . t o ,cabrito,ka'b4i.to,cabritito,ka.b4i'ti.to
1.3,cabrito,2,cabrito,cabrito,cabrito,NC,cabrito,k a ' B_o 4 i . t o ,cabrito,k a ' B_o 4 i . t o ,cabrito,k a ' b 4 i . t o ,cabrito,k a ' b 4 i . t o ,cabrito,ka'b4i.to,cabrito,ka'b4i.to
1,cabritos,1,cabritos,cabrito,cabrito,NC,cabrito,k a ' B_o 4 i . t o ,cabritos,k a ' B_o 4 i . t o s ,cabrito,k a ' b 4 i . t o ,cabritos,k a ' b 4 i . t o s ,cabrito,ka'b4i.to,cabritos,ka'b4i.tos
1,caca,1,caca,caca,caca,NC,caca,' k a . k a ,caca,' k a . k a ,caca,' k a . k a ,caca,' k a . k a ,caca,'ka.ka,caca,'ka.ka
1.3,cacahuetes,2,cacahuetes,cacahuete,cacahuete,NC,cacahuete,k a . k a ' w e . t e ,cacahuetes,k a . k a ' w e . t e s ,cacahuete,k a . k a ' w e . t e ,cacahuetes,k a . k a ' w e . t e s ,cacahuete,ka.ka'we.te,cacahuetes,ka.ka'we.tes
1.7,cacas,5,cacas,caca,caca,NC,caca,' k a . k a ,cacas,' k a . k a s ,caca,' k a . k a ,cacas,' k a . k a s ,caca,'ka.ka,cacas,'ka.kas
1,cacharrito,1,cacharrito,cacharro,cacharro,NC,cacharro,k a ' tS a . r o ,cacharrito,k a . tS a ' r i . t o ,cacharro,k a ' C a . r o ,cacharrito,k a . C a ' r i . t o ,cacharro,ka'Ca.ro,cacharrito,ka.Ca'ri.to
1.48,cacharro,3,cacharro,cacharro,cacharro,NC,cacharro,k a ' tS a . r o ,cacharro,k a ' tS a . r o ,cacharro,k a ' C a . r o ,cacharro,k a ' C a . r o ,cacharro,ka'Ca.ro,cacharro,ka'Ca.ro
1.3,cachito,2,cachito,cacho,cacho,AQ,cacho,' k a . tS o ,cachito,k a ' tS i . t o ,cacho,' k a . C o ,cachito,k a ' C i . t o ,cacho,'ka.Co,cachito,ka'Ci.to
1,cachivache,1,cachivache,cachivache,cachivache,NC,cachivache,k a . tS i ' B_o a . tS e ,cachivache,k a . tS i ' B_o a . tS e ,cachivache,k a . C i ' b a . C e ,cachivache,k a . C i ' b a . C e ,cachivache,ka.Ci'ba.Ce,cachivache,ka.Ci'ba.Ce
2,cacho,10,cacho,cacho,cacho,NC,cacho,' k a . tS o ,cacho,' k a . tS o ,cacho,' k a . C o ,cacho,' k a . C o ,cacho,'ka.Co,cacho,'ka.Co
2.4,cada,25,cada,cada,cada,DI,cada,' k a . D_o a ,cada,' k a . D_o a ,cada,' k a . d a ,cada,' k a . d a ,cada,'ka.da,cada,'ka.da
3.64,cae,438,cae,caer,caer,VMI,caer,k a ' e 4 ,cae,' k a . e ,caer,k a ' e 4 ,cae,' k a . e ,caer,ka'e4,cae,'ka.e
1.3,caemos,2,caemos,caer,caer,VMI,caer,k a ' e 4 ,caemos,k a ' e . m o s ,caer,k a ' e 4 ,caemos,k a ' e . m o s ,caer,ka'e4,caemos,ka'e.mos
2.68,caen,48,caen,caer,caer,VMI,caer,k a ' e 4 ,caen,' k a . e n ,caer,k a ' e 4 ,caen,' k a . e n ,caer,ka'e4,caen,'ka.en
3.08,caer,120,caer,caer,caer,VMN,caer,k a ' e 4 ,caer,k a ' e 4 ,caer,k a ' e 4 ,caer,k a ' e 4 ,caer,ka'e4,caer,ka'e4
1.3,caerá,2,caerá,caer,caer,VMI,caer,k a ' e 4 ,caerá,k a . e ' 4 a ,caer,k a ' e 4 ,caerá,k a . e ' 4 a ,caer,ka'e4,caerá,ka.e'4a
1,caerán,1,caerán,caer,caer,VMI,caer,k a ' e 4 ,caerán,k a . e ' 4 a n ,caer,k a ' e 4 ,caerán,k a . e ' 4 a n ,caer,ka'e4,caerán,ka.e'4an
1,caeré,1,caeré,caer,caer,VMI,caer,k a ' e 4 ,caeré,k a . e ' 4 e ,caer,k a ' e 4 ,caeré,k a . e ' 4 e ,caer,ka'e4,caeré,ka.e'4e
1.9,caerse,8,caerse,caer+se,caer,VMN+PP,caer,k a ' e 4 ,caerse,k a ' e 4 . s e ,caer,k a ' e 4 ,caerse,k a ' e 4 . s e ,caer,ka'e4,caerse,ka'e4.se
2.04,caes,11,caes,caer,caer,VMI,caer,k a ' e 4 ,caes,' k a . e s ,caer,k a ' e 4 ,caes,' k a . e s ,caer,ka'e4,caes,'ka.es
2.23,café,17,café,café,café,NC,café,k a ' f e ,café,k a ' f e ,café,k a ' f e ,café,k a ' f e ,café,ka'fe,café,ka'fe
1.48,cafetera,3,cafetera,cafetero,cafetero,AQ,cafetero,k a . f e ' t e . 4 o ,cafetera,k a . f e ' t e . 4 a ,cafetero,k a . f e ' t e . 4 o ,cafetera,k a . f e ' t e . 4 a ,cafetero,ka.fe'te.4o,cafetera,ka.fe'te.4a
1,cafetería,1,cafetería,cafetería,cafetería,NC,cafetería,k a . f e . t e ' 4 i a ,cafetería,k a . f e . t e ' 4 i a ,cafetería,k a . f e . t e ' 4 i a ,cafetería,k a . f e . t e ' 4 i a ,cafetería,ka.fe.te'4ia,cafetería,ka.fe.te'4ia
1,caga,1,caga,cagar,cagar,VMI,cagar,k a ' G_o a 4 ,caga,' k a . G_o a ,cagar,k a ' g a 4 ,caga,' k a . g a ,cagar,ka'ga4,caga,'ka.ga
1.3,cagando,2,cagando,cagar,cagar,VMG,cagar,k a ' G_o a 4 ,cagando,k a ' G_o a n_d . d o ,cagar,k a ' g a 4 ,cagando,k a ' g a n . d o ,cagar,ka'ga4,cagando,ka'gan.do
1.6,cagar,4,cagar,cagar,cagar,VMN,cagar,k a ' G_o a 4 ,cagar,k a ' G_o a 4 ,cagar,k a ' g a 4 ,cagar,k a ' g a 4 ,cagar,ka'ga4,cagar,ka'ga4
1,cago,1,cago,cagar,cagar,VMI,cagar,k a ' G_o a 4 ,cago,' k a . G_o o ,cagar,k a ' g a 4 ,cago,' k a . g o ,cagar,ka'ga4,cago,'ka.go
1.3,cagó,2,cagó,cagar,cagar,VMI,cagar,k a ' G_o a 4 ,cagó,k a ' G_o o ,cagar,k a ' g a 4 ,cagó,k a ' g o ,cagar,ka'ga4,cagó,ka'go
1.3,caí,2,caí,caí,caí,NC,caí,' k a i ,caí,' k a i ,caí,' k a i ,caí,' k a i ,caí,'kai,caí,'kai
2.34,caía,22,caía,caer,caer,VMI,caer,k a ' e 4 ,caía,k a ' i a ,caer,k a ' e 4 ,caía,k a ' i a ,caer,ka'e4,caía,ka'ia
1.7,caían,5,caían,caer,caer,VMI,caer,k a ' e 4 ,caían,k a ' i a n ,caer,k a ' e 4 ,caían,k a ' i a n ,caer,ka'e4,caían,ka'ian
1,caías,1,caías,caer,caer,VMI,caer,k a ' e 4 ,caías,k a ' i a s ,caer,k a ' e 4 ,caías,k a ' i a s ,caer,ka'e4,caías,ka'ias
1.3,caída,2,caída,caída,caída,NC,caída,' k a i . D_o a ,caída,' k a i . D_o a ,caída,' k a i . d a ,caída,' k a i . d a ,caída,'kai.da,caída,'kai.da
1,caidas,1,caidas,caidas,caidas,NC,caidas,' k a i_^ . D_o a s ,caidas,' k a i_^ . D_o a s ,caidas,' k a i . d a s ,caidas,' k a i . d a s ,caidas,'kai.das,caidas,'kai.das
1.9,caido,8,caido,caido,caido,VMP,caido,' k a i_^ . D_o o ,caido,' k a i_^ . D_o o ,caido,' k a i . d o ,caido,' k a i . d o ,caido,'kai.do,caido,'kai.do
3.62,caído,415,caído,caer,caer,VMP,caer,k a ' e 4 ,caído,' k a i . D_o o ,caer,k a ' e 4 ,caído,' k a i . d o ,caer,ka'e4,caído,'kai.do
2.32,caiga,21,caiga,caer,caer,VMS,caer,k a ' e 4 ,caiga,' k a i_^ . G_o a ,caer,k a ' e 4 ,caiga,' k a i . g a ,caer,ka'e4,caiga,'kai.ga
1,caigan,1,caigan,caer,caer,VMS,caer,k a ' e 4 ,caigan,' k a i_^ . G_o a n ,caer,k a ' e 4 ,caigan,' k a i . g a n ,caer,ka'e4,caigan,'kai.gan
1.78,caigas,6,caigas,caer,caer,VMS,caer,k a ' e 4 ,caigas,' k a i_^ . G_o a s ,caer,k a ' e 4 ,caigas,' k a i . g a s ,caer,ka'e4,caigas,'kai.gas
2.56,caigo,36,caigo,caer,caer,VMI,caer,k a ' e 4 ,caigo,' k a i_^ . G_o o ,caer,k a ' e 4 ,caigo,' k a i . g o ,caer,ka'e4,caigo,'kai.go
2.08,caja,12,caja,caja,caja,NC,caja,' k a . x a ,caja,' k a . x a ,caja,' k a . x a ,caja,' k a . x a ,caja,'ka.xa,caja,'ka.xa
1,cajita,1,cajita,cajita,cajita,NC,cajita,k a ' x i . t a ,cajita,k a ' x i . t a ,cajita,k a ' x i . t a ,cajita,k a ' x i . t a ,cajita,ka'xi.ta,cajita,ka'xi.ta
2.18,cajón,15,cajón,cajón,cajón,NC,cajón,k a ' x o n ,cajón,k a ' x o n ,cajón,k a ' x o n ,cajón,k a ' x o n ,cajón,ka'xon,cajón,ka'xon
1,cajones,1,cajones,cajón,cajón,NC,cajón,k a ' x o n ,cajones,k a ' x o . n e s ,cajón,k a ' x o n ,cajones,k a ' x o . n e s ,cajón,ka'xon,cajones,ka'xo.nes
1,calamares,1,calamares,calamar,calamar,NC,calamar,k a . l a ' m a 4 ,calamares,k a . l a ' m a . 4 e s ,calamar,k a . l a ' m a 4 ,calamares,k a . l a ' m a . 4 e s ,calamar,ka.la'ma4,calamares,ka.la'ma.4es
1,calcetines,1,calcetines,calcetín,calcetín,NC,calcetín,k a l_d_+ . T e ' t i n ,calcetines,k a l_d_+ . T e ' t i . n e s ,calcetín,k a l . T e ' t i n ,calcetines,k a l . T e ' t i . n e s ,calcetín,kal.Te'tin,calcetines,kal.Te'ti.nes
1,caldera,1,caldera,caldera,caldera,NC,caldera,k a l_d ' d e . 4 a ,caldera,k a l_d ' d e . 4 a ,caldera,k a l ' d e . 4 a ,caldera,k a l ' d e . 4 a ,caldera,kal'de.4a,caldera,kal'de.4a
1,calderete,1,calderete,caldero,caldero,NC,caldero,k a l_d ' d e . 4 o ,calderete,k a l_d . d e ' 4 e . t e ,caldero,k a l ' d e . 4 o ,calderete,k a l . d e ' 4 e . t e ,caldero,kal'de.4o,calderete,kal.de'4e.te
1,caldico,1,caldico,caldo,caldo,NC,caldo,' k a l_d . d o ,caldico,k a l_d ' d i . k o ,caldo,' k a l . d o ,caldico,k a l ' d i . k o ,caldo,'kal.do,caldico,kal'di.ko
1.3,caldo,2,caldo,caldo,caldo,NC,caldo,' k a l_d . d o ,caldo,' k a l_d . d o ,caldo,' k a l . d o ,caldo,' k a l . d o ,caldo,'kal.do,caldo,'kal.do
