5.07,a,11653,a,a,a,SP,a,a ,a,a ,a,' a ,a,' a ,a,'a,a,'a
1.7,corbata,5,corbata,corbata,corbata,NC,corbata,k o 4 ' B_o a . t a ,corbata,k o 4 ' B_o a . t a ,corbata,k o 4 ' b a . t a ,corbata,k o 4 ' b a . t a ,corbata,ko4'ba.ta,corbata,ko4'ba.ta
1.3,corderico,2,corderico,cordero,cordero,NC,cordero,k o 4 ' D_o e . 4 o ,corderico,k o 4 . D_o e ' 4 i . k o ,cordero,k o 4 ' d e . 4 o ,corderico,k o 4 . d e ' 4 i . k o ,cordero,ko4'de.4o,corderico,ko4.de'4i.ko
1,cordericos,1,cordericos,cordero,cordero,NC,cordero,k o 4 ' D_o e . 4 o ,cordericos,k o 4 . D_o e ' 4 i . k o s ,cordero,k o 4 ' d e . 4 o ,cordericos,k o 4 . d e ' 4 i . k o s ,cordero,ko4'de.4o,cordericos,ko4.de'4i.kos
1,corderita,1,corderita,cordero,cordero,NC,cordero,k o 4 ' D_o e . 4 o ,corderita,k o 4 . D_o e ' 4 i . t a ,cordero,k o 4 ' d e . 4 o ,corderita,k o 4 . d e ' 4 i . t a ,cordero,ko4'de.4o,corderita,ko4.de'4i.ta
1,cordero,1,cordero,cordero,cordero,NC,cordero,k o 4 ' D_o e . 4 o ,cordero,k o 4 ' D_o e . 4 o ,cordero,k o 4 ' d e . 4 o ,cordero,k o 4 ' d e . 4 o ,cordero,ko4'de.4o,cordero,ko4'de.4o
1,corona,1,corona,corona,corona,NC,corona,k o ' 4 o . n a ,corona,k o ' 4 o . n a ,corona,k o ' 4 o . n a ,corona,k o ' 4 o . n a ,corona,ko'4o.na,corona,ko'4o.na
1.95,corral,9,corral,corral,corral,NC,corral,k o ' r a l ,corral,k o ' r a l ,corral,k o ' r a l ,corral,k o ' r a l ,corral,ko'ral,corral,ko'ral
1,corrales,1,corrales,corral,corral,NC,corral,k o ' r a l ,corrales,k o ' r a . l e s ,corral,k o ' r a l ,corrales,k o ' r a . l e s ,corral,ko'ral,corrales,ko'ra.les
1,corralito,1,corralito,corral,corral,NC,corral,k o ' r a l ,corralito,k o . r a ' l i . t o ,corral,k o ' r a l ,corralito,k o . r a ' l i . t o ,corral,ko'ral,corralito,ko.ra'li.to
1,corras,1,corras,correr,correr,VMS,correr,k o ' r e 4 ,corras,' k o . r a s ,correr,k o ' r e 4 ,corras,' k o . r a s ,correr,ko're4,corras,'ko.ras
2.98,corre,96,corre,correr,correr,VMI,correr,k o ' r e 4 ,corre,' k o . r e ,correr,k o ' r e 4 ,corre,' k o . r e ,correr,ko're4,corre,'ko.re
2.32,correr,21,correr,correr,correr,VMN,correr,k o ' r e 4 ,correr,k o ' r e 4 ,correr,k o ' r e 4 ,correr,k o ' r e 4 ,correr,ko're4,correr,ko're4
1.3,correrás,2,correrás,correr,correr,VMI,correr,k o ' r e 4 ,correrás,k o . r e ' 4 a s ,correr,k o ' r e 4 ,correrás,k o . r e ' 4 a s ,correr,ko're4,correrás,ko.re'4as
1,corres,1,corres,correr,correr,VMI,correr,k o ' r e 4 ,corres,' k o . r e s ,correr,k o ' r e 4 ,corres,' k o . r e s ,correr,ko're4,corres,'ko.res
1,corresponde,1,corresponde,corresponder,corresponder,VMI,corresponder,k o . r e s . p o n_d ' d e 4 ,corresponde,k o . r e s ' p o n_d . d e ,corresponder,k o . r e s . p o n ' d e 4 ,corresponde,k o . r e s ' p o n . d e ,corresponder,ko.res.pon'de4,corresponde,ko.res'pon.de
1,corretear,1,corretear,corretear,corretear,VMN,corretear,k o . r e . t e ' a 4 ,corretear,k o . r e . t e ' a 4 ,corretear,k o . r e . t e ' a 4 ,corretear,k o . r e . t e ' a 4 ,corretear,ko.re.te'a4,corretear,ko.re.te'a4
1,correteas,1,correteas,corretear,corretear,VMI,corretear,k o . r e . t e ' a 4 ,correteas,k o . r e ' t e . a s ,corretear,k o . r e . t e ' a 4 ,correteas,k o . r e ' t e . a s ,corretear,ko.re.te'a4,correteas,ko.re'te.as
1,corría,1,corría,correr,correr,VMI,correr,k o ' r e 4 ,corría,k o ' r i a ,correr,k o ' r e 4 ,corría,k o ' r i a ,correr,ko're4,corría,ko'ria
1,corrían,1,corrían,correr,correr,VMI,correr,k o ' r e 4 ,corrían,k o ' r i a n ,correr,k o ' r e 4 ,corrían,k o ' r i a n ,correr,ko're4,corrían,ko'rian
1.3,corrido,2,corrido,corrido,corrido,NC,corrido,k o ' r i . D_o o ,corrido,k o ' r i . D_o o ,corrido,k o ' r i . d o ,corrido,k o ' r i . d o ,corrido,ko'ri.do,corrido,ko'ri.do
2.62,corriendo,42,corriendo,correr,correr,VMG,correr,k o ' r e 4 ,corriendo,k o ' r j e n_d . d o ,correr,k o ' r e 4 ,corriendo,k o ' r j e n . d o ,correr,ko're4,corriendo,ko'rjen.do
1,corriente,1,corriente,corriente,corriente,NC,corriente,k o ' r j e n_d . t e ,corriente,k o ' r j e n_d . t e ,corriente,k o ' r j e n . t e ,corriente,k o ' r j e n . t e ,corriente,ko'rjen.te,corriente,ko'rjen.te
1.7,corroncho,5,corroncho,corroncho,corroncho,NC,corroncho,k o ' r o n_j . tS o ,corroncho,k o ' r o n_j . tS o ,corroncho,k o ' r o n . C o ,corroncho,k o ' r o n . C o ,corroncho,ko'ron.Co,corroncho,ko'ron.Co
1.9,corta,8,corta,corto,corto,AQ,corto,' k o 4 . t o ,corta,' k o 4 . t a ,corto,' k o 4 . t o ,corta,' k o 4 . t a ,corto,'ko4.to,corta,'ko4.ta
1,cortadico,1,cortadico,cortado,cortado,NC,cortado,k o 4 ' t a . D_o o ,cortadico,k o 4 . t a ' D_o i . k o ,cortado,k o 4 ' t a . d o ,cortadico,k o 4 . t a ' d i . k o ,cortado,ko4'ta.do,cortadico,ko4.ta'di.ko
1.6,cortado,4,cortado,cortar,cortar,VMP,cortar,k o 4 ' t a 4 ,cortado,k o 4 ' t a . D_o o ,cortar,k o 4 ' t a 4 ,cortado,k o 4 ' t a . d o ,cortar,ko4'ta4,cortado,ko4'ta.do
1,cortamos,1,cortamos,cortar,cortar,VMI,cortar,k o 4 ' t a 4 ,cortamos,k o 4 ' t a . m o s ,cortar,k o 4 ' t a 4 ,cortamos,k o 4 ' t a . m o s ,cortar,ko4'ta4,cortamos,ko4'ta.mos
1.3,cortando,2,cortando,cortar,cortar,VMG,cortar,k o 4 ' t a 4 ,cortando,k o 4 ' t a n_d . d o ,cortar,k o 4 ' t a 4 ,cortando,k o 4 ' t a n . d o ,cortar,ko4'ta4,cortando,ko4'tan.do
1,cortar,1,cortar,cortar,cortar,VMN,cortar,k o 4 ' t a 4 ,cortar,k o 4 ' t a 4 ,cortar,k o 4 ' t a 4 ,cortar,k o 4 ' t a 4 ,cortar,ko4'ta4,cortar,ko4'ta4
1,cortará,1,cortará,cortar,cortar,VMI,cortar,k o 4 ' t a 4 ,cortará,k o 4 . t a ' 4 a ,cortar,k o 4 ' t a 4 ,cortará,k o 4 . t a ' 4 a ,cortar,ko4'ta4,cortará,ko4.ta'4a
1.3,cortas,2,cortas,corta,corta,NC,corta,' k o 4 . t a ,cortas,' k o 4 . t a s ,corta,' k o 4 . t a ,cortas,' k o 4 . t a s ,corta,'ko4.ta,cortas,'ko4.tas
1.85,cortinas,7,cortinas,cortina,cortina,NC,cortina,k o 4 ' t i . n a ,cortinas,k o 4 ' t i . n a s ,cortina,k o 4 ' t i . n a ,cortinas,k o 4 ' t i . n a s ,cortina,ko4'ti.na,cortinas,ko4'ti.nas
1,cortita,1,cortita,corto,corto,AQ,corto,' k o 4 . t o ,cortita,k o 4 ' t i . t a ,corto,' k o 4 . t o ,cortita,k o 4 ' t i . t a ,corto,'ko4.to,cortita,ko4'ti.ta
1.3,cortito,2,cortito,corto,corto,AQ,corto,' k o 4 . t o ,cortito,k o 4 ' t i . t o ,corto,' k o 4 . t o ,cortito,k o 4 ' t i . t o ,corto,'ko4.to,cortito,ko4'ti.to
1.7,corto,5,corto,corto,corto,AQ,corto,' k o 4 . t o ,corto,' k o 4 . t o ,corto,' k o 4 . t o ,corto,' k o 4 . t o ,corto,'ko4.to,corto,'ko4.to
2.91,cosa,81,cosa,cosa,cosa,NC,cosa,' k o . s a ,cosa,' k o . s a ,cosa,' k o . s a ,cosa,' k o . s a ,cosa,'ko.sa,cosa,'ko.sa
3.42,cosas,265,cosas,cosa,cosa,NC,cosa,' k o . s a ,cosas,' k o . s a s ,cosa,' k o . s a ,cosas,' k o . s a s ,cosa,'ko.sa,cosas,'ko.sas
2.43,coscorrón,27,coscorrón,coscorrón,coscorrón,NC,coscorrón,k o s . k o ' r o n ,coscorrón,k o s . k o ' r o n ,coscorrón,k o s . k o ' r o n ,coscorrón,k o s . k o ' r o n ,coscorrón,kos.ko'ron,coscorrón,kos.ko'ron
1,coser,1,coser,coser,coser,VMN,coser,k o ' s e 4 ,coser,k o ' s e 4 ,coser,k o ' s e 4 ,coser,k o ' s e 4 ,coser,ko'se4,coser,ko'se4
1,coserle,1,coserle,coser+le,coser,VMN+PP,coser,k o ' s e 4 ,coserle,k o ' s e 4 l e ,coser,k o ' s e 4 ,coserle,k o ' s e 4 l e ,coser,ko'se4,coserle,ko'se4le
1.3,cosicas,2,cosicas,cosa,cosa,NC,cosa,' k o . s a ,cosicas,k o ' s i . k a s ,cosa,' k o . s a ,cosicas,k o ' s i . k a s ,cosa,'ko.sa,cosicas,ko'si.kas
2.23,cosita,17,cosita,cosita,cosita,NC,cosita,k o ' s i . t a ,cosita,k o ' s i . t a ,cosita,k o ' s i . t a ,cosita,k o ' s i . t a ,cosita,ko'si.ta,cosita,ko'si.ta
2.58,cositas,38,cositas,cosita,cosita,NC,cosita,k o ' s i . t a ,cositas,k o ' s i . t a s ,cosita,k o ' s i . t a ,cositas,k o ' s i . t a s ,cosita,ko'si.ta,cositas,ko'si.tas
1.3,costado,2,costado,costar,costar,VMP,costar,k o s ' t a 4 ,costado,k o s ' t a . D_o o ,costar,k o s ' t a 4 ,costado,k o s ' t a . d o ,costar,kos'ta4,costado,kos'ta.do
1.48,costillas,3,costillas,costilla,costilla,NC,costilla,k o s ' t i . j\\ a ,costillas,k o s ' t i . j\\ a s ,costilla,k o s ' t i . L a ,costillas,k o s ' t i . L a s ,costilla,kos'ti.La,costillas,kos'ti.Las
1.3,costra,2,costra,costra,costra,NC,costra,' k o s . t 4 a ,costra,' k o s . t 4 a ,costra,' k o s . t 4 a ,costra,' k o s . t 4 a ,costra,'kos.t4a,costra,'kos.t4a
1,costumbre,1,costumbre,costumbre,costumbre,NC,costumbre,k o s ' t u m . b 4 e ,costumbre,k o s ' t u m . b 4 e ,costumbre,k o s ' t u m . b 4 e ,costumbre,k o s ' t u m . b 4 e ,costumbre,kos'tum.b4e,costumbre,kos'tum.b4e
1,cotilla,1,cotilla,cotilla,cotilla,NC,cotilla,k o ' t i . j\\ a ,cotilla,k o ' t i . j\\ a ,cotilla,k o ' t i . L a ,cotilla,k o ' t i . L a ,cotilla,ko'ti.La,cotilla,ko'ti.La
1.3,coz,2,coz,coz,coz,NC,coz,' k o T ,coz,' k o T ,coz,' k o T ,coz,' k o T ,coz,'koT,coz,'koT
1.3,creas,2,creas,crear,crear,VMI,crear,k 4 e ' a 4 ,creas,' k 4 e . a s ,crear,k 4 e ' a 4 ,creas,' k 4 e . a s ,crear,k4e'a4,creas,'k4e.as
1.78,crece,6,crece,crecer,crecer,VMI,crecer,k 4 e ' T e 4 ,crece,' k 4 e . T e ,crecer,k 4 e ' T e 4 ,crece,' k 4 e . T e ,crecer,k4e'Te4,crece,'k4e.Te
1.6,crecer,4,crecer,crecer,crecer,VMN,crecer,k 4 e ' T e 4 ,crecer,k 4 e ' T e 4 ,crecer,k 4 e ' T e 4 ,crecer,k 4 e ' T e 4 ,crecer,k4e'Te4,crecer,k4e'Te4
1,crecerá,1,crecerá,crecer,crecer,VMI,crecer,k 4 e ' T e 4 ,crecerá,k 4 e . T e ' 4 a ,crecer,k 4 e ' T e 4 ,crecerá,k 4 e . T e ' 4 a ,crecer,k4e'Te4,crecerá,k4e.Te'4a
2.04,crecido,11,crecido,crecer,crecer,VMP,crecer,k 4 e ' T e 4 ,crecido,k 4 e ' T i . D_o o ,crecer,k 4 e ' T e 4 ,crecido,k 4 e ' T i . d o ,crecer,k4e'Te4,crecido,k4e'Ti.do
1.85,creciendo,7,creciendo,crecer,crecer,VMG,crecer,k 4 e ' T e 4 ,creciendo,k 4 e ' T j e n_d . d o ,crecer,k 4 e ' T e 4 ,creciendo,k 4 e ' T j e n . d o ,crecer,k4e'Te4,creciendo,k4e'Tjen.do
1,creció,1,creció,crecer,crecer,VMI,crecer,k 4 e ' T e 4 ,creció,k 4 e ' T j o ,crecer,k 4 e ' T e 4 ,creció,k 4 e ' T j o ,crecer,k4e'Te4,creció,k4e'Tjo
1.3,creer,2,creer,creer,creer,VMN,creer,k 4 e ' e 4 ,creer,k 4 e ' e 4 ,creer,k 4 e ' e 4 ,creer,k 4 e ' e 4 ,creer,k4e'e4,creer,k4e'e4
2.8,crees,63,crees,creer,creer,VMI,creer,k 4 e ' e 4 ,crees,' k 4 e . e s ,creer,k 4 e ' e 4 ,crees,' k 4 e . e s ,creer,k4e'e4,crees,'k4e.es
1.6,creía,4,creía,creer,creer,VMI,creer,k 4 e ' e 4 ,creía,k 4 e ' i a ,creer,k 4 e ' e 4 ,creía,k 4 e ' i a ,creer,k4e'e4,creía,k4e'ia
1,creído,1,creído,creer,creer,VMP,creer,k 4 e ' e 4 ,creído,' k 4 e i . D_o o ,creer,k 4 e ' e 4 ,creído,' k 4 e i . d o ,creer,k4e'e4,creído,'k4ei.do
1.3,crema,2,crema,crema,crema,NC,crema,' k 4 e . m a ,crema,' k 4 e . m a ,crema,' k 4 e . m a ,crema,' k 4 e . m a ,crema,'k4e.ma,crema,'k4e.ma
3.28,creo,192,creo,creer,creer,VMI,creer,k 4 e ' e 4 ,creo,' k 4 e . o ,creer,k 4 e ' e 4 ,creo,' k 4 e . o ,creer,k4e'e4,creo,'k4e.o
1,crezca,1,crezca,crecer,crecer,VMS,crecer,k 4 e ' T e 4 ,crezca,' k 4 e T . k a ,crecer,k 4 e ' T e 4 ,crezca,' k 4 e T . k a ,crecer,k4e'Te4,crezca,'k4eT.ka
1.7,crío,5,crío,crío,crío,NC,crío,' k 4 i o ,crío,' k 4 i o ,crío,' k 4 i o ,crío,' k 4 i o ,crío,'k4io,crío,'k4io
1.95,críos,9,críos,crío,crío,NC,crío,' k 4 i o ,críos,' k 4 i o s ,crío,' k 4 i o ,críos,' k 4 i o s ,crío,'k4io,críos,'k4ios
1,Cris,1,cris,cri,cri,NC,cri,' k 4 i ,Cris,' k 4 i s ,cri,' k 4 i ,Cris,' k 4 i s ,cri,'k4i,Cris,'k4is
1.3,cristal,2,cristal,cristal,cristal,NC,cristal,k 4 i s ' t a l ,cristal,k 4 i s ' t a l ,cristal,k 4 i s ' t a l ,cristal,k 4 i s ' t a l ,cristal,k4is'tal,cristal,k4is'tal
1,cristales,1,cristales,cristal,cristal,NC,cristal,k 4 i s ' t a l ,cristales,k 4 i s ' t a . l e s ,cristal,k 4 i s ' t a l ,cristales,k 4 i s ' t a . l e s ,cristal,k4is'tal,cristales,k4is'ta.les
1,Cristian,1,cristian,cristian,cristian,NP,cristian,' k 4 i s . t j a n ,Cristian,' k 4 i s . t j a n ,cristian,' k 4 i s . t j a n ,Cristian,' k 4 i s . t j a n ,cristian,'k4is.tjan,Cristian,'k4is.tjan
2.48,Cristina,30,cristina,cristino,cristino,AQ,cristino,k 4 i s ' t i . n o ,Cristina,k 4 i s ' t i . n a ,cristino,k 4 i s ' t i . n o ,Cristina,k 4 i s ' t i . n a ,cristino,k4is'ti.no,Cristina,k4is'ti.na
1.7,Cristinita,5,cristinita,cristino,cristino,AQ,cristino,k 4 i s ' t i . n o ,Cristinita,k 4 i s . t i ' n i . t a ,cristino,k 4 i s ' t i . n o ,Cristinita,k 4 i s . t i ' n i . t a ,cristino,k4is'ti.no,Cristinita,k4is.ti'ni.ta
1.78,Cristóbal,6,cristóbal,cristóbal,cristóbal,NP,cristóbal,k 4 i s ' t o . B_o a l ,Cristóbal,k 4 i s ' t o . B_o a l ,cristóbal,k 4 i s ' t o . b a l ,Cristóbal,k 4 i s ' t o . b a l ,cristóbal,k4is'to.bal,Cristóbal,k4is'to.bal
1,croquetas,1,croquetas,croqueta,croqueta,NC,croqueta,k 4 o ' k e . t a ,croquetas,k 4 o ' k e . t a s ,croqueta,k 4 o ' k e . t a ,croquetas,k 4 o ' k e . t a s ,croqueta,k4o'ke.ta,croquetas,k4o'ke.tas
1,Cruela,1,cruela,cruela,cruela,NP,cruela,' k 4 w e . l a ,Cruela,' k 4 w e . l a ,cruela,' k 4 w e . l a ,Cruela,' k 4 w e . l a ,cruela,'k4we.la,Cruela,'k4we.la
1,cruzaban,1,cruzaban,cruzar,cruzar,VMI,cruzar,k 4 u ' T a 4 ,cruzaban,k 4 u ' T a . B_o a n ,cruzar,k 4 u ' T a 4 ,cruzaban,k 4 u ' T a . b a n ,cruzar,k4u'Ta4,cruzaban,k4u'Ta.ban
1,cruzado,1,cruzado,cruzar,cruzar,VMP,cruzar,k 4 u ' T a 4 ,cruzado,k 4 u ' T a . D_o o ,cruzar,k 4 u ' T a 4 ,cruzado,k 4 u ' T a . d o ,cruzar,k4u'Ta4,cruzado,k4u'Ta.do
1,cruzar,1,cruzar,cruzar,cruzar,VMN,cruzar,k 4 u ' T a 4 ,cruzar,k 4 u ' T a 4 ,cruzar,k 4 u ' T a 4 ,cruzar,k 4 u ' T a 4 ,cruzar,k4u'Ta4,cruzar,k4u'Ta4
1.78,cuadra,6,cuadra,cuadra,cuadra,NC,cuadra,' k w a . D_o 4 a ,cuadra,' k w a . D_o 4 a ,cuadra,' k w a . d 4 a ,cuadra,' k w a . d 4 a ,cuadra,'kwa.d4a,cuadra,'kwa.d4a
1,cuadrado,1,cuadrado,cuadrado,cuadrado,AQ,cuadrado,k w a ' D_o 4 a . D_o o ,cuadrado,k w a ' D_o 4 a . D_o o ,cuadrado,k w a ' d 4 a . d o ,cuadrado,k w a ' d 4 a . d o ,cuadrado,kwa'd4a.do,cuadrado,kwa'd4a.do
1,cuadras,1,cuadras,cuadra,cuadra,NC,cuadra,' k w a . D_o 4 a ,cuadras,' k w a . D_o 4 a s ,cuadra,' k w a . d 4 a ,cuadras,' k w a . d 4 a s ,cuadra,'kwa.d4a,cuadras,'kwa.d4as
1,cuadrilla,1,cuadrilla,cuadrilla,cuadrilla,NC,cuadrilla,k w a ' D_o 4 i . j\\ a ,cuadrilla,k w a ' D_o 4 i . j\\ a ,cuadrilla,k w a ' d 4 i . L a ,cuadrilla,k w a ' d 4 i . L a ,cuadrilla,kwa'd4i.La,cuadrilla,kwa'd4i.La
1.9,cuadro,8,cuadro,cuadro,cuadro,NC,cuadro,' k w a . D_o 4 o ,cuadro,' k w a . D_o 4 o ,cuadro,' k w a . d 4 o ,cuadro,' k w a . d 4 o ,cuadro,'kwa.d4o,cuadro,'kwa.d4o
1,cuadros,1,cuadros,cuadro,cuadro,NC,cuadro,' k w a . D_o 4 o ,cuadros,' k w a . D_o 4 o s ,cuadro,' k w a . d 4 o ,cuadros,' k w a . d 4 o s ,cuadro,'kwa.d4o,cuadros,'kwa.d4os
1,cuajadas,1,cuajadas,cuajada,cuajada,NC,cuajada,k w a ' x a . D_o a ,cuajadas,k w a ' x a . D_o a s ,cuajada,k w a ' x a . d a ,cuajadas,k w a ' x a . d a s ,cuajada,kwa'xa.da,cuajadas,kwa'xa.das
1.3,cual,2,cual,cual,cual,PR,cual,' k w a l ,cual,' k w a l ,cual,' k w a l ,cual,' k w a l ,cual,'kwal,cual,'kwal
3.41,cuál,256,cuál,cuál,cuál,PT,cuál,' k w a l ,cuál,' k w a l ,cuál,' k w a l ,cuál,' k w a l ,cuál,'kwal,cuál,'kwal
2.15,cuáles,14,cuáles,cuál,cuál,PT,cuál,' k w a l ,cuáles,' k w a . l e s ,cuál,' k w a l ,cuáles,' k w a . l e s ,cuál,'kwal,cuáles,'kwa.les
1.3,cualquier,2,cualquier,cualquiera,cualquiera,DI,cualquiera,k w a l ' k j e . 4 a ,cualquier,k w a l ' k j e 4 ,cualquiera,k w a l ' k j e . 4 a ,cualquier,k w a l ' k j e 4 ,cualquiera,kwal'kje.4a,cualquier,kwal'kje4
1.3,cualquiera,2,cualquiera,cualquiera,cualquiera,PI,cualquiera,k w a l ' k j e . 4 a ,cualquiera,k w a l ' k j e . 4 a ,cualquiera,k w a l ' k j e . 4 a ,cualquiera,k w a l ' k j e . 4 a ,cualquiera,kwal'kje.4a,cualquiera,kwal'kje.4a
3.36,cuando,228,cuando,cuando,cuando,CS,cuando,' k w a n_d . d o ,cuando,' k w a n_d . d o ,cuando,' k w a n . d o ,cuando,' k w a n . d o ,cuando,'kwan.do,cuando,'kwan.do
2.87,cuándo,74,cuándo,cuándo,cuándo,PT,cuándo,' k w a n_d . d o ,cuándo,' k w a n_d . d o ,cuándo,' k w a n . d o ,cuándo,' k w a n . d o ,cuándo,'kwan.do,cuándo,'kwan.do
1.48,cuanta,3,cuanta,cuanto,cuanto,PR,cuanto,' k w a n_d . t o ,cuanta,' k w a n_d . t a ,cuanto,' k w a n . t o ,cuanta,' k w a n . t a ,cuanto,'kwan.to,cuanta,'kwan.ta
1.3,cuánta,2,cuánta,cuánto,cuánto,PT,cuánto,' k w a n_d . t o ,cuánta,' k w a n_d . t a ,cuánto,' k w a n . t o ,cuánta,' k w a n . t a ,cuánto,'kwan.to,cuánta,'kwan.ta
1.95,cuantas,9,cuantas,cuanto,cuanto,DI,cuanto,' k w a n_d . t o ,cuantas,' k w a n_d . t a s ,cuanto,' k w a n . t o ,cuantas,' k w a n . t a s ,cuanto,'kwan.to,cuantas,'kwan.tas
3,cuántas,99,cuántas,cuánto,cuánto,PT,cuánto,' k w a n_d . t o ,cuántas,' k w a n_d . t a s ,cuánto,' k w a n . t o ,cuántas,' k w a n . t a s ,cuánto,'kwan.to,cuántas,'kwan.tas
1.3,cuanto,2,cuanto,cuanto,cuanto,PR,cuanto,' k w a n_d . t o ,cuanto,' k w a n_d . t o ,cuanto,' k w a n . t o ,cuanto,' k w a n . t o ,cuanto,'kwan.to,cuanto,'kwan.to
2.2,cuánto,16,cuánto,cuánto,cuánto,PT,cuánto,' k w a n_d . t o ,cuánto,' k w a n_d . t o ,cuánto,' k w a n . t o ,cuánto,' k w a n . t o ,cuánto,'kwan.to,cuánto,'kwan.to
2,cuantos,10,cuantos,cuanto,cuanto,DI,cuanto,' k w a n_d . t o ,cuantos,' k w a n_d . t o s ,cuanto,' k w a n . t o ,cuantos,' k w a n . t o s ,cuanto,'kwan.to,cuantos,'kwan.tos
3.14,cuántos,137,cuántos,cuánto,cuánto,PT,cuánto,' k w a n_d . t o ,cuántos,' k w a n_d . t o s ,cuánto,' k w a n . t o ,cuántos,' k w a n . t o s ,cuánto,'kwan.to,cuántos,'kwan.tos
1.3,cuarta,2,cuarta,cuarta,cuarta,AO,cuarta,' k w a 4 . t a ,cuarta,' k w a 4 . t a ,cuarta,' k w a 4 . t a ,cuarta,' k w a 4 . t a ,cuarta,'kwa4.ta,cuarta,'kwa4.ta
1,cuartico,1,cuartico,cuarto,cuarto,NC,cuarto,' k w a 4 . t o ,cuartico,k w a 4 ' t i . k o ,cuarto,' k w a 4 . t o ,cuartico,k w a 4 ' t i . k o ,cuarto,'kwa4.to,cuartico,kwa4'ti.ko
1,cuartito,1,cuartito,cuarto,cuarto,NC,cuarto,' k w a 4 . t o ,cuartito,k w a 4 ' t i . t o ,cuarto,' k w a 4 . t o ,cuartito,k w a 4 ' t i . t o ,cuarto,'kwa4.to,cuartito,kwa4'ti.to
3.32,cuarto,207,cuarto,cuarto,cuarto,AO,cuarto,' k w a 4 . t o ,cuarto,' k w a 4 . t o ,cuarto,' k w a 4 . t o ,cuarto,' k w a 4 . t o ,cuarto,'kwa4.to,cuarto,'kwa4.to
1.48,cuartos,3,cuartos,cuarto,cuarto,NC,cuarto,' k w a 4 . t o ,cuartos,' k w a 4 . t o s ,cuarto,' k w a 4 . t o ,cuartos,' k w a 4 . t o s ,cuarto,'kwa4.to,cuartos,'kwa4.tos
2.65,cuatro,45,cuatro,cuatro,cuatro,Z,cuatro,' k w a . t 4 o ,cuatro,' k w a . t 4 o ,cuatro,' k w a . t 4 o ,cuatro,' k w a . t 4 o ,cuatro,'kwa.t4o,cuatro,'kwa.t4o
1,Cuba,1,cuba,cuba,cuba,NC,cuba,' k u . B_o a ,Cuba,' k u . B_o a ,cuba,' k u . b a ,Cuba,' k u . b a ,cuba,'ku.ba,Cuba,'ku.ba
1.3,cubierto,2,cubierto,cubrir,cubrir,VMP,cubrir,k u ' B_o 4 i 4 ,cubierto,k u ' B_o j e 4 . t o ,cubrir,k u ' b 4 i 4 ,cubierto,k u ' b j e 4 . t o ,cubrir,ku'b4i4,cubierto,ku'bje4.to
1.7,cubiertos,5,cubiertos,cubrir,cubrir,VMP,cubrir,k u ' B_o 4 i 4 ,cubiertos,k u ' B_o j e 4 . t o s ,cubrir,k u ' b 4 i 4 ,cubiertos,k u ' b j e 4 . t o s ,cubrir,ku'b4i4,cubiertos,ku'bje4.tos
1.3,cuchara,2,cuchara,cuchara,cuchara,NC,cuchara,k u ' tS a . 4 a ,cuchara,k u ' tS a . 4 a ,cuchara,k u ' C a . 4 a ,cuchara,k u ' C a . 4 a ,cuchara,ku'Ca.4a,cuchara,ku'Ca.4a
1.6,cucharas,4,cucharas,cuchara,cuchara,NC,cuchara,k u ' tS a . 4 a ,cucharas,k u ' tS a . 4 a s ,cuchara,k u ' C a . 4 a ,cucharas,k u ' C a . 4 a s ,cuchara,ku'Ca.4a,cucharas,ku'Ca.4as
1.6,cuchillo,4,cuchillo,cuchillo,cuchillo,NC,cuchillo,k u ' tS i . j\\ o ,cuchillo,k u ' tS i . j\\ o ,cuchillo,k u ' C i . L o ,cuchillo,k u ' C i . L o ,cuchillo,ku'Ci.Lo,cuchillo,ku'Ci.Lo
1,cuelas,1,cuelas,colar,colar,VMI,colar,k o ' l a 4 ,cuelas,' k w e . l a s ,colar,k o ' l a 4 ,cuelas,' k w e . l a s ,colar,ko'la4,cuelas,'kwe.las
2.04,cuelga,11,cuelga,cuelga,cuelga,NC,cuelga,' k w e l . G_o a ,cuelga,' k w e l . G_o a ,cuelga,' k w e l . g a ,cuelga,' k w e l . g a ,cuelga,'kwel.ga,cuelga,'kwel.ga
1.48,cuelgan,3,cuelgan,colgar,colgar,VMI,colgar,k o l ' G_o a 4 ,cuelgan,' k w e l . G_o a n ,colgar,k o l ' g a 4 ,cuelgan,' k w e l . g a n ,colgar,kol'ga4,cuelgan,'kwel.gan
1.3,cuelgas,2,cuelgas,cuelga,cuelga,NC,cuelga,' k w e l . G_o a ,cuelgas,' k w e l . G_o a s ,cuelga,' k w e l . g a ,cuelgas,' k w e l . g a s ,cuelga,'kwel.ga,cuelgas,'kwel.gas
2.28,cuello,19,cuello,cuello,cuello,NC,cuello,' k w e . j\\ o ,cuello,' k w e . j\\ o ,cuello,' k w e . L o ,cuello,' k w e . L o ,cuello,'kwe.Lo,cuello,'kwe.Lo
2.75,cuenta,56,cuenta,contar,contar,VMI,contar,k o n_d ' t a 4 ,cuenta,' k w e n_d . t a ,contar,k o n ' t a 4 ,cuenta,' k w e n . t a ,contar,kon'ta4,cuenta,'kwen.ta
